imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0132910,The Crow: Salvation,102,"['Action, Crime, Fantasy']",4.9,10807,,2000
tt0156841,The Next Best Thing,108,"['Comedy, Drama, Romance']",4.7,10722,14990582,2000
tt0211938,Bait,119,"['Action, Comedy, Crime']",5.8,10536,15325127,2000
tt0215545,Bamboozled,135,"['Comedy, Drama, Music']",6.5,10406,2185266,2000
tt0160484,Lost Souls,97,"['Drama, Horror, Thriller']",4.8,10365,16779636,2000
tt0206420,Woman on Top,92,"['Comedy, Fantasy, Romance']",5.3,9918,5018450,2000
tt0202402,Whatever It Takes,94,"['Comedy, Drama, Romance']",5.5,9870,8735529,2000
tt0219952,Lucky Numbers,105,"['Comedy, Crime']",5.0,9841,10014234,2000
tt0192255,The Little Vampire,95,"['Adventure, Comedy, Family']",5.7,9632,13572400,2000
tt0208196,Happy Accidents,110,"['Comedy, Romance']",7.2,9465,688510,2000
tt0210075,Girlfight,110,"['Drama, Sport']",6.7,9300,1523941,2000
tt0237993,101 Reykjavík,88,"['Comedy, Romance']",6.8,9292,12182,2000
tt0134630,Duets,112,"['Comedy, Drama, Music']",6.1,9089,4734235,2000
tt0171359,Hamlet,112,"['Drama, Romance, Thriller']",5.9,9045,1568749,2000
tt0181151,What Planet Are You From?,105,"['Comedy, Sci-Fi']",5.6,9032,6291602,2000
tt0190524,Left Behind: The Movie,96,"['Action, Drama, Fantasy']",4.5,9024,4224065,2000
tt0210382,The Weight of Water,114,"['Crime, Drama, Mystery']",5.9,9006,102622,2000
tt0216787,The Taste of Others,112,"['Comedy, Drama, Romance']",7.2,8936,635282,2000
tt0330994,Titanic - La leggenda continua,90,"['Animation, Family, Fantasy']",2.0,8931,,2000
tt0156323,Screwed,81,"['Comedy, Crime']",5.8,8479,7027345,2000
tt0240913,Under the Sand,92,"['Drama, Mystery']",7.1,8232,1450106,2000
tt0195778,Here on Earth,96,"['Drama, Romance']",5.2,8231,10494147,2000
tt0194218,Panic,88,"['Comedy, Crime, Drama']",6.6,7953,779137,2000
tt0262432,George Washington,89,['Drama'],7.3,7772,241816,2000
tt0119273,Heavy Metal 2000,88,"['Animation, Action, Adventure']",5.5,7656,,2000
tt0190861,Vatel,103,"['Biography, Drama, Romance']",6.6,7354,49464,2000
tt0234853,The Tao of Steve,87,"['Comedy, Drama, Romance']",6.6,7327,4340373,2000
tt0222850,The Broken Hearts Club: A Romantic Comedy,94,"['Comedy, Drama, Romance']",6.9,7116,1744858,2000
tt0200720,The House of Mirth,135,"['Romance, Drama']",7.0,7071,3041803,2000
tt0171356,Gun Shy,101,"['Comedy, Crime, Romance']",5.7,6898,1631839,2000
tt0259974,Digimon: The Movie,82,"['Animation, Action, Adventure']",6.1,6815,9631153,2000
tt0245929,Guizi lai le,139,"['Comedy, Drama, War']",8.2,6797,18223,2000
tt0127349,Waking the Dead,105,"['Drama, Mystery, Romance']",6.5,6745,327418,2000
tt0159784,Takedown,96,"['Biography, Crime, Drama']",6.3,6583,,2000
tt0210358,Things You Can Tell Just by Looking at Her,109,"['Drama, Romance']",6.5,6539,,2000
tt0179183,Fortress 2,92,"['Action, Sci-Fi']",4.6,6468,,2000
tt0220100,Timecode,97,"['Drama, Romance']",6.1,6449,945041,2000
tt0248185,Mission Kashmir,154,"['Action, Drama, Thriller']",6.7,6355,,2000
tt0199314,About Adam,97,"['Comedy, Romance']",5.8,6288,151559,2000
tt0216799,Harrison's Flowers,121,"['Drama, Romance, War']",7.1,6053,1843570,2000
tt0218378,The Claim,120,"['Drama, Romance, Western']",6.4,5967,669258,2000
tt0250478,Nico and Dani,91,"['Comedy, Drama, Romance']",6.6,5895,347986,2000
tt0149367,Where the Money Is,89,"['Drama, Comedy, Crime']",6.2,5667,5658940,2000
tt0206926,Maybe Baby,104,"['Comedy, Romance']",5.7,5634,8351,2000
tt0212830,Bruiser,99,"['Horror, Mystery']",5.3,5580,,2000
tt0206226,Psycho Beach Party,95,"['Comedy, Horror, Mystery']",6.2,5503,265107,2000
tt0203540,Greenfingers,91,"['Comedy, Crime, Romance']",6.8,5435,1439287,2000
tt0212826,Bread and Roses,110,['Drama'],7.0,5303,525738,2000
tt0200530,Chuck &amp; Buck,96,"['Comedy, Drama']",6.5,5244,1050600,2000
tt0234137,Love &amp; Sex,82,"['Comedy, Romance, Drama']",6.2,5211,546287,2000
tt0212879,Citizen Toxie: The Toxic Avenger IV,109,"['Action, Comedy, Fantasy']",6.1,5139,,2000
tt0199727,"Love, Honor and Obey",103,"['Comedy, Crime']",6.5,5066,1143,2000
tt0230169,Ed Gein,89,"['Biography, Crime, Drama']",5.5,5047,5708,2000
tt0200192,Cheeky,91,"['Comedy, Drama']",5.5,4959,,2000
tt0229340,Dinner Rush,99,"['Crime, Drama, Romance']",7.3,4864,110000,2000
tt0220627,Maelstrom,87,['Drama'],6.9,4768,33410,2000
